id,brand,is_self,launch_date,days_active,product_cat,theme,headline,body,cta,msrp,rebate,installment,funnel_channel,offer_tag,media_type,media_url,link
2491025334722244,AnAnA Computer,True,2026-09-02,6,B2B / Network Infrastructure,Enterprise Push,Meta Ad Library...,Ad Library Ad Library Report Ad Library API Branded Content ​ Cambodia ​...,Send Message,N/A,N/A,N/A,https://t.me/AnAnA_Messaging,Active 6d,Static Image,https://scontent-fra5-2.xx.fbcdn.net/v/t39.35426-6/790058816_1455230086429194_6089175523684112617_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=E6wSemwws-EQ7kNvwEh2fiT&_nc_oc=AdpFZAZcKoW9a6l0oJW5_VW4Up-thzFIeSQHIcsZrKbndmj0IWSz8XIh6rOzuEMqfRQ&_nc_zt=14&_nc_ht=scontent-fra5-2.xx&_nc_gid=9su3EMD5pokiflno4CZyxQ&_nc_ss=7920f&oh=00_AQLsCXFpbF75Ue53tLt6v4-QZXmNrAapjDWNkJoZj1kESg&oe=6AA513DB,https://www.facebook.com/ads/library/?id=2491025334722244
2585588791879930,AnAnA Computer,True,2026-09-03,5,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 2585588791879930 Started running on Sep 3, 2026 Platforms ​ ​ ​...",Send Message,N/A,N/A,N/A,https://t.me/AnAnA_Messaging,Active 5d,Static Image,https://scontent-fra5-2.xx.fbcdn.net/v/t39.35426-6/792109569_2922586994787126_6523741752451433592_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=xZ38uts-mQ0Q7kNvwE8qPSn&_nc_oc=AdpUlvJ4pUlxTaU1PgNbuWWwVOK2mceF174A6gmlLMuZ5hd_Ii8K2V8_Bu_uyhkJO64&_nc_zt=14&_nc_ht=scontent-fra5-2.xx&_nc_gid=9su3EMD5pokiflno4CZyxQ&_nc_ss=7920f&oh=00_AQIDIazOkm12nVpH8WtzZGfEUkTgwHlsnQJxzuEi6GswCg&oe=6AA53535,https://www.facebook.com/ads/library/?id=2585588791879930
1631507681894253,PTC Computer,False,2026-09-02,6,Gaming Rig & Hardware,Consumer Retail,Meta Ad Library...,Ad Library Ad Library Report Ad Library API Branded Content ​ Cambodia ​...,Send Message,$150,N/A,N/A,"https://t.me/PTCOnlineSales, https://t.me/Nak_PTCComputer, https://t.me/MsKosoma, https://t.me/PTCComputerCommunity, https://t.me/SalePTCSiemreap, https://t.me/+mPtn_rB26NM4NTU9, https://t.me/PTCKeangKeang_ung",Active 6d,Video Reel,https://scontent-fra5-2.xx.fbcdn.net/v/t39.35426-6/793212514_1355814706280928_5304566907524622632_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=iSsIbIg_byQQ7kNvwH0ROWQ&_nc_oc=Ado0MK0la2vuWKHuli6hBUfxdmwxn9cbyG204Ywma9FtBTVFOIiioQNRWvhzBJt_ixE&_nc_zt=14&_nc_ht=scontent-fra5-2.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQL2D4_e-b-HGU3PCoLDjMZIsif3-5F0NWr0nUB80dvVmA&oe=6AA50F62,https://www.facebook.com/ads/library/?id=1631507681894253
1776699026794074,PTC Computer,False,2026-09-02,6,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 1776699026794074 Started running on Sep 2, 2026 Platforms ​ ​ ​...",Send Message,$150,N/A,N/A,"https://t.me/PTCOnlineSales, https://t.me/Nak_PTCComputer, https://t.me/MsKosoma, https://t.me/PTCComputerCommunity, https://t.me/SalePTCSiemreap, https://t.me/+mPtn_rB26NM4NTU9, https://t.me/PTCKeangKeang_ung",Active 6d,Static Image,https://scontent-fra5-2.xx.fbcdn.net/v/t39.35426-6/792329153_1031400403229135_6283097905523358763_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=W2BFfUMUOIUQ7kNvwGb6i5O&_nc_oc=Adr6ESEIaeHL5s-kpSH4a0l1qP9s6lcAIII8R4xbIFE6yWZGWgFd-tv62fb3C5-K7To&_nc_zt=14&_nc_ht=scontent-fra5-2.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQLphDm3va7lHEJWXVejw4_wc2vR654oXKPio6OwRdZiug&oe=6AA51179,https://www.facebook.com/ads/library/?id=1776699026794074
1121203397258596,PTC Computer,False,2026-09-02,6,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 1121203397258596 Started running on Sep 2, 2026 Platforms ​ ​ ​...",Send Message,N/A,N/A,N/A,Messenger Direct,Active 6d,Static Image,https://scontent-fra5-2.xx.fbcdn.net/v/t39.35426-6/787074089_1734348681014249_3899989600893215649_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qaGUtXtpwaoQ7kNvwG0exNV&_nc_oc=AdrmDL54wveHfNvs1s8xz3a8IMjZVMh8Ts4kvsKgIqq77h4IZP56g0394MJjPHwbgKg&_nc_zt=14&_nc_ht=scontent-fra5-2.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQLWRf8sVR_Fj0IsUbt_VgLhj-s8R_kyN3ojKUw1dA_SUA&oe=6AA518B8,https://www.facebook.com/ads/library/?id=1121203397258596
891632343830765,PTC Computer,False,2026-09-02,6,Gaming Rig & Hardware,Consumer Retail,​...,"Active Library ID: 891632343830765 Started running on Sep 2, 2026 Platforms ​ ​ ​...",Send Message,N/A,N/A,N/A,Messenger Direct,Active 6d,Video Reel,https://scontent-fra5-1.xx.fbcdn.net/v/t39.35426-6/774576198_1402025275425564_8207282760129373980_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=KSdKY1cS1AkQ7kNvwFpcjpU&_nc_oc=AdpRXE9PHKz2MRWL397gremo3jpr1dfw18G6KhBeq0L5Qi_sJLFjrdHcLQWk0Se3uhc&_nc_zt=14&_nc_ht=scontent-fra5-1.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQKef98M6-lHtv8V1vXwJToq3qMMQ2f0J_8P73e1wJryXA&oe=6AA52C10,https://www.facebook.com/ads/library/?id=891632343830765
1080255001168515,PTC Computer,False,2026-09-02,6,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 1080255001168515 Started running on Sep 2, 2026 Platforms ​ ​ ​...",Send Message,$141,N/A,N/A,Messenger Direct,Active 6d,Video Reel,https://scontent-fra3-1.xx.fbcdn.net/v/t39.35426-6/773739057_2497090030769868_8206182358903950_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=kwclvG2Tp78Q7kNvwEQSK7N&_nc_oc=AdooCOHTg2isQwU6l4jveZ2DVAt6fv-S_O5IxNVfz7HPqQqzPnncjPNDRdqgCwo9uCY&_nc_zt=14&_nc_ht=scontent-fra3-1.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQIg4BTZPrF5CFXNmBECsxf4NYhBNa6t6JqoRaIOI7xTJA&oe=6AA51AF4,https://www.facebook.com/ads/library/?id=1080255001168515
1446103397380136,PTC Computer,False,2026-09-04,4,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 1446103397380136 Started running on Sep 4, 2026 Platforms ​ ​ ​...",Send Message,N/A,N/A,N/A,Messenger Direct,Active 4d,Static Image,https://scontent-fra3-2.xx.fbcdn.net/v/t39.35426-6/795538807_1552303693250213_3151265388615586065_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=afv74GeoJYUQ7kNvwGZAO2Y&_nc_oc=Adow9-IEKB6J6xVcHMxjweGnTU6rWMSUGZi8DGq655J1VY3nIk5UtTpKc0cSU8v8xUo&_nc_zt=14&_nc_ht=scontent-fra3-2.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQL9Rfr7MuvpBAwC7YgB219ikdaZDyr53hbOHV8_JuY1pg&oe=6AA510E5,https://www.facebook.com/ads/library/?id=1446103397380136
1146027291482972,PTC Computer,False,2026-09-06,2,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 1146027291482972 Started running on Sep 6, 2026 · Total active time 21 hrs Platforms ​ ​ Open Dropdown...",Send Message,N/A,N/A,N/A,Messenger Direct,Active 2d,Video Reel,https://scontent-fra3-1.xx.fbcdn.net/v/t39.35426-6/798094752_1890203765687718_4171798115377804664_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=agfkFgiMxLwQ7kNvwEa4ojS&_nc_oc=AdqHG24tEmR3r-mpyQJb91bFhzGj-dyiNShl2uYu4KDzrJBBbBDV4HebwJ_BpLSkibo&_nc_zt=14&_nc_ht=scontent-fra3-1.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQK_b4CFJfQzl8IN86tv4b2-5cy18kbmXMM5U7Evr9VMEg&oe=6AA5362C,https://www.facebook.com/ads/library/?id=1146027291482972
1017271478015247,PTC Computer,False,2026-09-03,5,Commercial / Student Laptop,Consumer Retail,​...,"Active Library ID: 1017271478015247 Started running on Sep 3, 2026 Platforms ​ ​ ​...",Send Message,N/A,N/A,N/A,Messenger Direct,Active 5d,Video Reel,https://scontent-fra5-2.xx.fbcdn.net/v/t39.35426-6/766797838_1565446581738207_2367216261567335834_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=DRfulQm7sSUQ7kNvwEX8AdG&_nc_oc=Adp70uegL2KeIfk-ALmwpZU_4BsW3GXxnMgSIuLSq8NZRwqSO5Wk-IRjLhXNoIkU-Zg&_nc_zt=14&_nc_ht=scontent-fra5-2.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQJBGYao1Z_GEp6RCljietp48scEjkfdMzbphQ0FLPFvOA&oe=6AA50FD7,https://www.facebook.com/ads/library/?id=1017271478015247
928841529771826,PTC Computer,False,2026-09-03,5,Gaming Rig & Hardware,Consumer Retail,​...,"Active Library ID: 928841529771826 Started running on Sep 3, 2026 Platforms ​ ​ ​...",Send Message,N/A,N/A,N/A,Messenger Direct,Active 5d,Video Reel,https://scontent-fra5-1.xx.fbcdn.net/v/t39.35426-6/774042544_1790230725238038_7421281545080088081_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=RbXgpUks0O4Q7kNvwGSK0pv&_nc_oc=AdquQXIkyBG1gYghV2z5kM5tYajIgVVOq_ZcW-W8YDGCpRDTKVXlXRM9nu7ZRu5SSX8&_nc_zt=14&_nc_ht=scontent-fra5-1.xx&_nc_gid=8Vhi6gh_sp2YBrZu1FFnEA&_nc_ss=7b20f&oh=00_AQLFNU5G73ngTXFnam8rRoXgWjIeHo1P0ftyhbe9Q6stLg&oe=6AA52007,https://www.facebook.com/ads/library/?id=928841529771826
1058795780102120,ECI Distribution,False,2026-09-06,2,Commercial / Student Laptop,Consumer Retail,Meta Ad Library...,Ad Library Ad Library Report Ad Library API Branded Content ​ Cambodia ​...,Send Message,N/A,N/A,N/A,Messenger Direct,Active 2d,Static Image,https://scontent-fra3-2.xx.fbcdn.net/v/t39.35426-6/798038962_38507583352190792_4880945942730387276_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=xo6vYxPCGlAQ7kNvwH76ke8&_nc_oc=Adout61F7gYDWfzxxwb2_J9pkudQXatV7o4iokQveJh141UGMSjwG9K-CKXRRS1fL2I&_nc_zt=14&_nc_ht=scontent-fra3-2.xx&_nc_gid=YAjU4tEmIIGLKWjD6ajSFg&_nc_ss=7b20f&oh=00_AQIW8ZW74NY-heqzv_UENN-ujlsDN1E3WITARXaoZTROiw&oe=6AA52DB2,https://www.facebook.com/ads/library/?id=1058795780102120
1070592082354658,PSC Computer,False,2026-09-04,4,Commercial / Student Laptop,Consumer Retail,Meta Ad Library...,Ad Library Ad Library Report Ad Library API Branded Content ​ Cambodia ​...,Send Message,N/A,N/A,N/A,https://t.me/PSCCOMPUTER,Active 4d,Video Reel,https://scontent-fra5-1.xx.fbcdn.net/v/t39.35426-6/795433536_28425821417043053_8648397093834540363_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=FF5hQfBzBdsQ7kNvwE7HPGL&_nc_oc=Adp-XYlWBQq0X3ObjY5k43-PGEPPm6kwoO_KsLckx9CCeGxK_2qVk8fKGdWXc1G-vEk&_nc_zt=14&_nc_ht=scontent-fra5-1.xx&_nc_gid=1wWo2wbPK9a-llEfG8f3Wg&_nc_ss=7b20f&oh=00_AQLhqIB1EbvdQlqJ7UrgPS-m_z4GpvqIpqxSCCM2FWdlvA&oe=6AA530A2,https://www.facebook.com/ads/library/?id=1070592082354658
